Generation,Fitness
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1199.0
13,1199.0
14,1199.0
15,1199.0
16,1199.0
17,1199.0
18,1199.0
19,1199.0
20,1199.0
21,1199.0
22,1199.0
23,1199.0
24,1199.0
25,1199.0
26,1199.0
27,1199.0
28,1199.0
29,1199.0
30,1199.0
31,1199.0
32,1199.0
33,1199.0
34,1199.0
35,1199.0
36,1199.0
37,1199.0
38,1199.0
39,1199.0
40,1199.0
41,1199.0
42,1199.0
43,1199.0
44,1199.0
45,1206.0
46,1206.0
47,1206.0
48,1206.0
49,1217.0
50,1217.0
51,1217.0
52,1217.0
53,1217.0
54,1240.0
55,1240.0
56,1240.0
57,1240.0
58,1240.0
59,1240.0
60,1240.0
61,1240.0
62,1240.0
63,1240.0
64,1240.0
65,1240.0
66,1240.0
67,1240.0
68,1240.0
69,1240.0
70,1240.0
71,1240.0
72,1240.0
73,1240.0
74,1240.0
75,1240.0
76,1240.0
77,1240.0
78,1240.0
79,1240.0
80,1240.0
81,1240.0
82,1240.0
83,1240.0
84,1240.0
85,1240.0
86,1240.0
87,1240.0
88,1240.0
89,1240.0
90,1240.0
91,1240.0
92,1240.0
93,1240.0
94,1240.0
95,1240.0
96,1240.0
97,1240.0
98,1240.0
99,1240.0
100,1240.0
101,1240.0
102,1240.0
103,1240.0
104,1240.0
105,1240.0
106,1240.0
107,1240.0
108,1240.0
109,1240.0
110,1240.0
111,1240.0
112,1240.0
113,1240.0
114,1240.0
115,1240.0
116,1240.0
117,1240.0
118,1240.0
119,1240.0
120,1240.0
121,1240.0
122,1240.0
123,1240.0
124,1240.0
125,1240.0
126,1240.0
127,1240.0
128,1240.0
129,1240.0
130,1240.0
131,1240.0
132,1240.0
133,1240.0
134,1240.0
135,1240.0
136,1240.0
137,1240.0
138,1240.0
139,1240.0
140,1240.0
141,1240.0
142,1240.0
143,1240.0
144,1240.0
145,1240.0
146,1240.0
147,1240.0
148,1240.0
149,1240.0
150,1240.0
151,1240.0
152,1240.0
153,1240.0
154,1240.0
155,1240.0
156,1240.0
157,1240.0
158,1240.0
159,1240.0
160,1240.0
161,1240.0
162,1240.0
163,1240.0
164,1240.0
165,1240.0
166,1240.0
167,1240.0
168,1240.0
169,1240.0
170,1240.0
171,1240.0
172,1240.0
173,1240.0
174,1240.0
175,1240.0
176,1240.0
177,1240.0
178,1240.0
179,1240.0
180,1240.0
181,1240.0
182,1240.0
183,1240.0
184,1240.0
185,1240.0
186,1240.0
187,1240.0
188,1240.0
189,1240.0
190,1240.0
191,1240.0
192,1240.0
193,1240.0
194,1240.0
195,1240.0
196,1240.0
197,1240.0
198,1240.0
199,1242.0
200,1242.0
